Jan 04, 2022 2:15:23 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/opendaylight/lock
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 04, 2022 2:15:23 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2022-01-04T14:15:24,565 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 4 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.7 | Logging configuration changed. (Event Admin service unavailable - no notification sent).
2022-01-04T14:15:25,305 | INFO  | activator-1-thread-2 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 | Adding features: 57dff2fc-7c53-4901-931c-62617cbd43ce/[0,0.0.0],odl-transportpce/[2.3.0.SNAPSHOT,2.3.0.SNAPSHOT]
2022-01-04T14:15:25,468 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 | Changes to perform:
2022-01-04T14:15:25,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   Region: root
2022-01-04T14:15:25,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |     Bundles to install:
2022-01-04T14:15:25,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1
2022-01-04T14:15:25,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.jasypt/1.9.3_1
2022-01-04T14:15:25,469 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.ops4j.pax.jdbc/pax-jdbc/1.4.4
2022-01-04T14:15:25,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.ops4j.pax.jdbc/pax-jdbc-config/1.4.4
2022-01-04T14:15:25,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.ops4j.pax.jdbc/pax-jdbc-pool-common/1.4.4
2022-01-04T14:15:25,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2022-01-04T14:15:25,470 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.osgi/org.osgi.service.jdbc/1.0.0
2022-01-04T14:15:25,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 | Installing bundles:
2022-01-04T14:15:25,473 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1
2022-01-04T14:15:25,476 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.jasypt/1.9.3_1
2022-01-04T14:15:25,481 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.ops4j.pax.jdbc/pax-jdbc/1.4.4
